id,date,time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name
4513547,1/1/22,0:00,BROOKLYN,11212,40.6602,-73.90929,,,461       CHESTER STREET
4541903,1/1/22,0:00,BROOKLYN,11222,40.723854,-73.94884,,,129       ECKFORD STREET
4542336,1/1/22,0:00,BROOKLYN,11233,40.680492,-73.915695,,,237       SUMPTER STREET
4545699,1/2/22,0:00,,,40.862392,-73.91802,WEST 205 STREET,,
4512922,1/3/22,0:00,,,40.8165,-73.946556,8 AVENUE,,
4521660,1/3/22,0:00,BRONX,10458,40.867027,-73.89111,EAST 196 STREET,BRIGGS AVENUE,
4521759,1/3/22,0:00,BRONX,10451,40.820984,-73.91294,,,467       EAST 157 STREET
4522226,1/3/22,0:00,QUEENS,11364,40.74705,-73.75565,,,64-45     SPRINGFIELD BOULEVARD
4522015,1/4/22,0:00,BROOKLYN,11218,40.649975,-73.97772,,,104       EAST 4 STREET
4521460,1/4/22,0:00,,,40.82523,-73.94761,WEST 145 STREET,,
4522156,1/4/22,0:00,,,,,PELHAM PARKWAY SOUTH,WHITE PLAINS ROAD,
4521633,1/4/22,0:00,,,40.66475,-73.89405,PENNSYLVANIA AVENUE,,
4522124,1/5/22,0:00,BRONX,10454,40.804905,-73.91883,EAST 135 STREET,SAINT ANNS AVENUE,
4521937,1/5/22,0:00,BRONX,10470,40.90304,-73.849556,FURMAN AVENUE,EAST 241 STREET,
4521801,1/6/22,0:00,,,40.742252,-73.97769,2 AVENUE,,
4522285,1/6/22,0:00,BRONX,10451,40.818348,-73.92951,,,501       GERARD AVENUE
4521853,1/6/22,0:00,,,40.740982,-73.946304,LONG ISLAND EXPRESSWAY,,
4522228,1/7/22,0:00,,,40.733955,-73.92172,LONG ISLAND EXPRESSWAY,,
4521702,1/7/22,0:00,QUEENS,11422,40.65741,-73.72839,147 AVENUE,FRANCIS LEWIS BOULEVARD,
4522167,1/7/22,0:00,BROOKLYN,11226,40.654343,-73.94995,,,1337      NOSTRAND AVENUE
4522196,1/7/22,0:00,MANHATTAN,10007,40.713135,-74.00407,CENTRE STREET,CHAMBERS STREET,
4521758,1/7/22,0:00,BRONX,10472,40.829586,-73.8794,,,1234      ELDER AVENUE
4522136,1/8/22,0:00,,,40.660175,-73.9282,REMSEN AVENUE,,
4521469,1/8/22,0:00,MANHATTAN,10002,40.719025,-73.98978,DELANCEY STREET,ORCHARD STREET,
4521859,1/8/22,0:00,,,40.80641,-73.94227,EAST 125 STREET,,
4521590,1/8/22,0:00,,,40.697407,-73.93601,BROADWAY,,
4521902,1/8/22,0:00,BRONX,10465,40.83312,-73.81796,,,908       CLARENCE AVENUE
4521684,1/9/22,0:00,,,40.653976,-73.952835,LENOX ROAD,,
