id,collision_id,vehicle_id
1,4491066,77
2,4491076,77
3,4491076,27
4,4491096,77
5,4491206,81
6,4491206,81
7,4491206,81
8,4491222,30
9,4491305,89
10,4491305,77
11,4491349,84
12,4491357,77
13,4491357,77
14,4491374,77
15,4491375,77
16,4491383,77
17,4491383,81
18,4491433,77
19,4491433,81
20,4491434,81
21,4491453,81
22,4491453,81
23,4491453,84
24,4491457,81
25,4491463,77
26,4491463,100
27,4491466,86
28,4491466,77
29,4491466,81
30,4491474,81
31,4491475,77
32,4491475,81
33,4491479,77
34,4491479,77
35,4491532,81
36,4491532,77
37,4491539,77
38,4491559,77
39,4491561,77
40,4491566,81
41,4491566,77
42,4491591,77
43,4491591,81
44,4491591,81
45,4491596,77
46,4491596,77
47,4491605,77
48,4491605,77
49,4491621,77
50,4491626,81
51,4491626,77
52,4491664,77
53,4491664,81
54,4491672,77
55,4491672,77
56,4491673,77
57,4491673,81
58,4491694,22
59,4491732,81
60,4491735,77
61,4491735,77
62,4491750,77
63,4491750,14
64,4491750,77
65,4491777,77
66,4491777,77
67,4491790,77
68,4491790,77
69,4491790,77
70,4491800,84
71,4491807,84
72,4491807,77
73,4491810,84
74,4491810,81
75,4491823,77
76,4491823,77
77,4491824,77
78,4491830,77
79,4491830,77
80,4491830,77
81,4491832,77
82,4491832,14
83,4491849,77
84,4491849,77
85,4491859,81
86,4491864,77
87,4491864,77
88,4491869,77
89,4491879,100
90,4491893,81
91,4491893,77
92,4491893,77
93,4491893,77
94,4491893,77
95,4491914,77
96,4491925,77
97,4491925,81
98,4491927,81
99,4491932,77
100,4491932,77
101,4491945,81
102,4491951,77
103,4491951,77
104,4491951,77
105,4491958,54
106,4491958,77
107,4491965,81
108,4491965,77
109,4491972,77
110,4491972,81
111,4491991,79
112,4491991,30
113,4492012,77
114,4492012,77
115,4492012,77
116,4492013,81
117,4492046,81
118,4492047,81
119,4492047,77
120,4492047,77
121,4492061,77
122,4492061,30
123,4492067,81
124,4492067,81
125,4492071,81
126,4492071,81
127,4492071,81
128,4492072,77
129,4492072,77
130,4492102,77
131,4492102,77
132,4492102,81
133,4492107,77
134,4492107,40
135,4492120,77
136,4492120,77
137,4492141,77
138,4492141,81
139,4492155,81
140,4492155,81
141,4492169,45
142,4492178,79
143,4492178,81
144,4492188,77
145,4492188,69
146,4492188,77
147,4492188,77
148,4492188,77
149,4492219,90
150,4492219,31
151,4492246,77
152,4492246,77
153,4492246,81
154,4492248,77
155,4492248,81
156,4492248,77
157,4492263,77
158,4492263,77
159,4492264,77
160,4492266,77
161,4492266,77
162,4492272,5
163,4492272,40
164,4492278,77
165,4492283,81
166,4492283,77
167,4492304,81
168,4492311,81
169,4492323,81
170,4492323,77
171,4492324,77
172,4492324,84
173,4492333,77
174,4492340,84
175,4492340,77
176,4492340,77
177,4492342,77
178,4492342,28
179,4492344,77
180,4492344,77
181,4492349,77
182,4492368,77
183,4492373,81
184,4492373,77
185,4492384,77
186,4492384,81
187,4492384,77
188,4492384,77
189,4492394,77
190,4492394,69
191,4492394,81
192,4492401,77
193,4492408,77
194,4492408,77
195,4492428,77
196,4492428,77
197,4492430,81
198,4492434,77
199,4492434,77
200,4492437,77
201,4492437,81
202,4492443,77
203,4492443,70
204,4492443,77
205,4492454,77
206,4492465,77
207,4492465,81
208,4492465,81
209,4492473,77
210,4492479,77
211,4492495,81
212,4492501,81
